,CompoundName,SMILES,caymanID,casID,Formula
28,15(R)-Prostaglandin D2,CCCCC[C@@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,10118,59894-05-2,C20H32O5
29,"CP 24,879 (hydrochloride)",CC(C)CCOc1ccc(N)cc1.Cl,10120,10141-51-2,C11H18ClNO
30,5-trans Latanoprost (free acid),O=C(O)CCC/C=C/C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,10129,903549-49-5,C23H34O5
31,MK-886 (sodium salt),CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)[O-])n2Cc1ccc(Cl)cc1.[Na+],10133,118427-55-7,C27H33ClNNaO2S
32,HQL-79,c1ccc(C(OC2CCN(CCCc3nnn[nH]3)CC2)c2ccccc2)cc1,10134,162641-16-9,C22H27N5O
33,Icilin,O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O,10137,36945-98-9,C16H13N3O4
34,Prostaglandin F2.alpha.-1-glyceryl ester,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)OCC(O)CO)[C@@H](O)C[C@H]1O,10139,43042-79-1,C23H40O7
35,Prostaglandin E2-1-glyceryl ester,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)OCC(O)CO,10140,37497-47-5,C23H38O7
36,BM 567,CCCCCNC(=O)NS(=O)(=O)c1cc([N+](=O)[O-])ccc1NC1CCCCC1,10155,284464-77-3,C18H28N4O5S
37,Ramatroban,O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2,10156,116649-85-5,C21H21FN2O4S
38,APF,Nc1ccc(Oc2ccc3c(c2)Oc2cc(O)ccc2C32OC(=O)c3ccccc32)cc1,10157,359010-70-1,C26H17NO5
39,HPF,O=C1OC2(c3ccc(O)cc3Oc3cc(Oc4ccc(O)cc4)ccc32)c2ccccc21,10159,359010-69-8,C26H16O6
40,Treprostinil,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,10162,81846-19-7,C23H34O5
41,D-erythro-MAPP,CCCCCCCCCCCCCC(=O)N[C@H](C)[C@@H](O)c1ccccc1,10165,143492-38-0,C23H39NO2
42,Arachidonoyl p-Nitroaniline,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1ccc([N+](=O)[O-])cc1,10168,119520-58-0,C26H36N2O3
43,15(S)-HETE Ethanolamide,CCCCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,10169,161744-53-2,C22H37NO3
44,BEC,N[C@@H](CSCCB(O)O)C(=O)O,10170,63107-40-4,C5H12BNO4S
45,OMDM-1,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](CO)Cc1ccc(O)cc1,10171,616884-62-9,C27H45NO3
46,1-Palmitoyl-2-hydroxy-sn-glycero-3-PC,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C,10172,17364-16-8,C24H50NO7P
47,OMDM-2,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)Cc1ccc(O)cc1,10179,616884-63-0,C27H45NO3
48,Arachidonoyl Ethanolamide Phosphate,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCOP(=O)(O)O,10180,183323-26-4,C22H38NO5P
49,4-oxo-2-Nonenal,CCCCCC(=O)/C=C/C=O,10185,103560-62-9,C9H14O2
50,trans-trismethoxy Resveratrol,COc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1,10188,22255-22-7,C17H18O3
51,"2,4-Dichlorophenoxy Acetic Acid",O=C(O)COc1ccc(Cl)cc1Cl,10190,94-75-7,C8H6Cl2O3
52,Prostaglandin D2 serinol amide,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)NC(CO)CO,10192,851761-42-7,C23H39NO6
53,Prostaglandin E2 serinol amide,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)NC(CO)CO,10193,951209-67-9,C23H39NO6
54,Prostaglandin F2.alpha. serinol amide,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)NC(CO)CO)[C@@H](O)C[C@H]1O,10194,1135226-99-1,C23H41NO6
55,13-epi-12-oxo Phytodienoic Acid,CC/C=C\C[C@H]1C(=O)C=C[C@@H]1CCCCCCCC(=O)O,10195,71606-07-0,C18H28O3
56,Prostaglandin A2,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,10210,13345-50-1,C20H30O4
57,IDFP,CCCCCCCCCCCCP(=O)(F)OC(C)C,10215,615250-02-7,C15H32FO2P
58,8-iso Prostaglandin A2,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@H]1C/C=C\CCCC(=O)O,10235,474391-66-7,C20H30O4
59,"13,14-dihydro-15-keto Prostaglandin A2",CCCCCC(=O)CC[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,10260,74872-89-2,C20H30O4
60,"15-deoxy-.DELTA.12,14-Prostaglandin A2",CCCCC/C=C/C=C1/C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,10265,112839-31-3,C20H28O3
61,15(R)-15-methyl Prostaglandin A2,CCCCC[C@@](C)(O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,10270,96440-68-5,C21H32O4
62,Prostratin,CC(=O)O[C@@]12C[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C,10272,60857-08-1,C22H30O6
63,ATB-337,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)Oc1ccc(-c2cc(=S)ss2)cc1,10277,912758-00-0,C23H15Cl2NO2S3
64,"16,16-dimethyl Prostaglandin A2",CCCCC(C)(C)[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,10280,41691-92-3,C22H34O4
65,16-phenoxy tetranor Prostaglandin A2,O=C(O)CCC/C=C\C[C@H]1C(=O)C=C[C@@H]1/C=C/[C@@H](O)COc1ccccc1,10285,51639-10-2,C22H26O5
66,17-phenyl trinor Prostaglandin A2,O=C(O)CCC/C=C\C[C@H]1C(=O)C=C[C@@H]1/C=C/[C@@H](O)CCc1ccccc1,10288,38315-51-4,C23H28O4
67,"17-phenyl trinor-13,14-dihydro Prostaglandin A2",O=C(O)CCC/C=C\C[C@H]1C(=O)C=C[C@@H]1CC[C@@H](O)CCc1ccccc1,10290,130209-80-2,C23H30O4
68,19(R)-hydroxy Prostaglandin A2,C[C@@H](O)CCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,10295,52087-58-8,C20H30O5
69,Prostaglandin A3,CC/C=C\C[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,10310,36614-31-0,C20H28O4
70,Prostaglandin E2 isopropyl ester,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)OC(C)C,10384,71845-66-4,C23H38O5
71,?-hydroxy Midazolam,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,10385,59468-90-5,C18H13ClFN3O
72,1'.alpha.-Hydroxymidazolam .beta.-D-Glucuronide,O=C(O)[C@H]1O[C@@H](OCc2ncc3n2-c2ccc(Cl)cc2C(c2ccccc2F)=NC3)[C@H](O)[C@@H](O)[C@@H]1O,10386,81256-81-7,C24H21ClFN3O7
73,PKC 412,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,10459,120685-11-2,C35H30N4O4
74,Paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,10461,33069-62-4,C47H51NO14
75,JWH 007-d9,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])Cn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,10486,1651833-48-5,C25H25NO
76,Capecitabine,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,10487,154361-50-9,C15H22FN3O6
77,Bupropion (hydrochloride),CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,10488,31677-93-7,C13H19Cl2NO
78,(S)-AM1241,CN1CCCC[C@H]1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,10490,444912-53-2,C22H22IN3O3
79,(R)-AM1241,CN1CCCC[C@@H]1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,10491,444912-51-0,C22H22IN3O3
80,4-iodo-SAHA,O=C(CCCCCCC(=O)Nc1ccc(I)cc1)NO,10495,1219807-87-0,C14H19IN2O3
81,BayCysLT2,O=C(O)c1ccc(OCCCc2ccc(OCCCCOc3ccccc3)cc2)c(C(=O)NC2CCCC(C(=O)O)C2)c1,10532,712313-33-2,C34H39NO8
82,"7(S),17(S)-dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-Docosapentaenoic Acid",CC/C=C\C[C@H](O)/C=C/C=C\C/C=C\C=C\[C@@H](O)CCCCCC(=O)O,10546,887752-13-8,C22H34O4
83,4-biphenylthio Carboxamide,NC(=S)c1ccc(-c2ccccc2)cc1,10550,13363-50-3,C13H11NS
84,Pyrazine-2-thio Carboxamide,NC(=S)c1cnccn1,10551,4604-72-2,C5H5N3S
85,4-methoxythio Benzamide,COc1ccc(C(N)=S)cc1,10552,2362-64-3,C8H9NOS
86,3-methoxythio Benzamide,COc1cccc(C(N)=S)c1,10553,64559-06-4,C8H9NOS
87,NG-amino-L-Arginine (hydrochloride),Cl.N=C(NN)NCCC[C@H](N)C(=O)O,10554,1031799-40-2,C6H16ClN5O2
88,7-hydroxycoumarinyl-.gamma.-Linolenate,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)Oc1ccc2ccc(=O)oc2c1,10556,161180-12-7,C27H34O4
89,MDA 19,CCCCCCN1C(=O)/C(=N\NC(=O)c2ccccc2)c2ccccc21,10563,1048973-47-2,C21H23N3O2
90,NVP-BEZ235,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,10565,915019-65-7,C30H23N5O
91,Ellagic Acid,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,10569,476-66-4,C14H6O8
92,Scriptaid,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,10572,287383-59-9,C18H18N2O4
93,Suberohydroxamic Acid,O=C(CCCCCCC(=O)NO)NO,10574,38937-66-5,C8H16N2O4
94,HC Toxin,C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@@H](C)NC1=O,10576,83209-65-8,C21H32N4O6
95,JWH 081,CCCCCn1cc(C(=O)c2ccc(OC)c3ccccc23)c2ccccc21,10579,210179-46-7,C25H25NO2
96,JWH 122,CCCCCn1cc(C(=O)c2ccc(C)c3ccccc23)c2ccccc21,10591,619294-47-2,C25H25NO
97,AS-1269574,Cc1cc(NCCO)nc(-c2ccc(Br)cc2)n1,10626,330981-72-1,C13H14BrN3O
98,JWH 073 2-hydroxyindole metabolite,CCCCn1c(O)c(C(=O)c2cccc3ccccc23)c2ccccc21,10633,1427325-54-9,C23H21NO2
99,RCS-8,COc1ccccc1CC(=O)c1cn(CCC2CCCCC2)c2ccccc12,10636,1345970-42-4,C25H29NO2
100,Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,10649,50-65-7,C13H8Cl2N2O4
101,ent-Corey PG-Lactone Diol,CCCCC[C@@H](O)/C=C/[C@H]1[C@@H]2CC(=O)O[C@@H]2C[C@@H]1O,10653,53110-06-8,C15H24O4
102,JWH 200-d5 (exempt preparation),[2H]c1c([2H])c([2H])c2c(c1[2H])c(C(=O)c1cccc3ccccc13)c([2H])n2CCN1CCOCC1,10682,1651833-51-0,C25H24N2O2
103,"3,4-Methylenedioxy Pyrovalerone (hydrochloride)",CCCC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1.Cl,10684,24622-62-6,C16H22ClNO3
104,Prostaglandin B1,CCCCC[C@H](O)/C=C/C1=C(CCCCCCC(=O)O)C(=O)CC1,11110,13345-51-2,C20H32O4
105,Prostaglandin B2,CCCCC[C@H](O)/C=C/C1=C(C/C=C\CCCC(=O)O)C(=O)CC1,11210,13367-85-6,C20H30O4
106,Prostaglandin B3,CC/C=C\C[C@H](O)/C=C/C1=C(C/C=C\CCCC(=O)O)C(=O)CC1,11990,36614-32-1,C20H28O4
107,Prostaglandin D1,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1CCCCCCC(=O)O,12000,17968-82-0,C20H34O5
108,Prostaglandin D1 Alcohol,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1CCCCCCCO,12002,1176470-37-3,C20H36O4
109,Prostaglandin D2,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,12010,41598-07-6,C20H32O5
110,Prostaglandin D2 Ethanolamide,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)NCCO,12012,398138-28-8,C22H37NO5
111,Prostaglandin D2-1-glyceryl ester,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)OCC(O)CO,12015,309260-52-4,C23H38O7
112,BW 245C,O=C(O)CCCCCC[C@H]1C(=O)NC(=O)N1CCC(O)C1CCCCC1,12050,72814-32-5,C19H32N2O5
113,BW 246C,O=C(O)CCCCCC[C@@H]1C(=O)NC(=O)N1CCC(O)C1CCCCC1,12055,65705-83-1,C19H32N2O5
114,BW A868C,O=C(O)CCCCCCC1C(=O)N(Cc2ccccc2)C(=O)N1NCC(O)C1CCCCC1,12060,118675-50-6,C25H37N3O5
115,5-trans Prostaglandin D2,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C/CCCC(=O)O,12210,2202725-84-4,C20H32O5
116,11-deoxy-11-methylene Prostaglandin D2,C=C1C[C@H](O)[C@H](C/C=C\CCCC(=O)O)[C@H]1/C=C/[C@@H](O)CCCCC,12410,100648-29-1,C21H34O4
117,"13,14-dihydro-15-keto Prostaglandin D2",CCCCCC(=O)CC[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,12610,59894-07-4,C20H32O5
118,.DELTA.12-Prostaglandin D2,CCCCC[C@H](O)C/C=C1/C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,12650,64072-89-5,C20H32O5
119,"15-deoxy-.DELTA.12,14-Prostaglandin D2",CCCCC/C=C/C=C1/C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,12700,85235-11-6,C20H30O4
120,15(R)-15-methyl Prostaglandin D2,CCCCC[C@@](C)(O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,12720,210978-26-0,C21H34O5
121,15(S)-15-methyl Prostaglandin D2,CCCCC[C@](C)(O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,12730,85280-90-6,C21H34O5
122,"16,16-dimethyl Prostaglandin D2",CCCCC(C)(C)[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,12750,64072-59-9,C22H36O5
123,17-phenyl trinor Prostaglandin D2,O=C(O)CCC/C=C\C[C@H]1[C@@H](O)CC(=O)[C@@H]1/C=C/[C@@H](O)CCc1ccccc1,12810,85280-91-7,C23H30O5
124,tetranor-PGDM,O=C(O)CCCCC(=O)CC[C@H]1C(=O)C[C@H](O)[C@@H]1CCC(=O)O,12850,70803-91-7,C16H24O7
125,Prostaglandin D3,CC/C=C\C[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,12990,71902-47-1,C20H30O5
126,Pterostilbene,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,13000,537-42-8,C16H16O3
127,2-methyl Benzamideoxime,Cc1ccccc1/C(N)=N/O,13002,40312-14-9,C8H10N2O
128,2-Pyridylamide oxime,N/C(=N\O)c1ccccn1,13003,1772-01-6,C6H7N3O
129,3-Pyridylamide oxime,N/C(=N\O)c1cccnc1,13004,1594-58-7,C6H7N3O
130,4-Pyridylamide oxime,N/C(=N\O)c1ccncc1,13005,1594-57-6,C6H7N3O
131,3-methyl-2-Quinoxalinone,Cc1nc2ccccc2[nH]c1=O,13006,14003-34-0,C9H8N2O
132,ethyl-2(2-pyridyl)-4-(bromomethyl)-Thiazole-5-Carboxylate,CCOC(=O)c1sc(-c2ccccn2)nc1CBr,13007,1138444-37-7,C12H11BrN2O2S
133,Disuccinimidyl Suberate,O=C(CCCCCCC(=O)ON1C(=O)CCC1=O)ON1C(=O)CCC1=O,13008,68528-80-3,C16H20N2O8
134,GSK264220A,Cc1oc(S(=O)(=O)N2CCCCC2)cc1NC(=O)Nc1ccccc1,13009,685506-42-7,C17H21N3O4S
135,Prostaglandin E1,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,13010,745-65-3,C20H34O5
136,Prostaglandin E1 Ethanolamide,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)NCCO,13012,210976-81-1,C22H39NO5
137,2-Hydroxyestradiol,C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,13019,362-05-0,C18H24O3
138,Prostaglandin E1 Alcohol,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCO,13020,21562-57-2,C20H36O4
139,2-Methoxyestradiol,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,13021,362-07-2,C19H26O3
140,PD 173074,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,13032,219580-11-7,C28H41N7O3
141,Valproic Acid (sodium salt),CCCC(CCC)C(=O)[O-].[Na+],13033,1069-66-5,C8H15NaO2
142,PD 0325901,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,13034,391210-10-9,C16H14F3IN2O4
143,2-(3-Pyridyl)-4-methyl-thiazole-5-Carboxylic Acid,Cc1nc(-c2cccnc2)sc1C(=O)O,13036,39091-01-5,C10H8N2O2S
144,2-Pyridylthioamide,NC(=S)c1ccccn1,13043,5346-28-3,C6H6N2S
145,Tranilast,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC,13044,53902-12-8,C18H17NO5
146,ATB-343,COc1ccc2c(c1)c(CC(=O)Oc1ccc(-c3cc(=S)ss3)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,13045,1000700-26-4,C28H20ClNO4S3
147,2-(2-Pyridyl)-4-methyl-thiazole-5-Carboxylic Acid,Cc1nc(-c2ccccn2)sc1C(=O)O,13047,34418-48-9,C10H8N2O2S
148,2-(4-Pyridyl)-4-methyl-thiazole-5-Carboxylic Acid,Cc1nc(-c2ccncc2)sc1C(=O)O,13049,144060-98-0,C10H8N2O2S
149,"1a,1b-dihomo Prostaglandin E1",CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCCC(=O)O,13050,23452-98-4,C22H38O5
150,2-(3-pyridyl)-Benzimidazole,c1cncc(-c2nc3ccccc3[nH]2)c1,13054,1137-67-3,C12H9N3
151,Naphthofluorescein,O=C1OC2(c3ccccc31)c1ccc3cc(O)ccc3c1Oc1c2ccc2cc(O)ccc12,13055,61419-02-1,C28H16O5
152,4-Pyridylthioamide,NC(=S)c1ccncc1,13056,2196-13-6,C6H6N2S
153,3-methyl Benzamideoxime,Cc1cccc(/C(N)=N/O)c1,13057,40067-82-1,C8H10N2O
154,N-Oleoyl-L-Serine,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)C(=O)O,13058,107743-37-3,C21H39NO4
155,ethyl-2-amino-4-methyl-Thiazole-5-Carboxylate,CCOC(=O)c1sc(N)nc1C,13059,7210-76-6,C7H10N2O2S
156,17(R)-Resolvin D1,CC/C=C\C[C@@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)C/C=C\CCC(=O)O,13060,528583-91-7,C22H32O5
157,2-amino-5-methyl-4-phenyl-Thiazole,Cc1sc(N)nc1-c1ccccc1,13061,30709-67-2,C10H10N2S
158,N-3-oxo-tetradecanoyl-L-Homoserine lactone,CCCCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,13063,177158-19-9,C18H31NO4
159,N-hexadecanoyl-L-Homoserine lactone,CCCCCCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,13064,87206-01-7,C20H37NO3
160,SB 203580,CS(=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,13067,152121-47-6,C21H16FN3OS
161,Fucoxanthin,CC(=O)O[C@H]1CC(C)(C)C(=C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)C[C@@]23O[C@]2(C)C[C@@H](O)CC3(C)C)[C@](C)(O)C1,13068,3351-86-8,C42H58O6
162,Tosyllysine Chloromethyl Ketone (hydrochloride),Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1.Cl,13074,4272-74-6,C14H22Cl2N2O3S
163,16(R)-Iloprost,CC#CC[C@@H](C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,13076,74843-13-3,C22H32O4
