,CompoundName,casID,selleckID,Formula,SMILES
10,Imatinib (STI571) Mesylate,220127-57-1,S1026,C29H31N7O.CH4SO3,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C)C(=C3)NC4=NC=CC(=N4)C5=CC=CN=C5.C[S](O)(=O)=O
11,Lapatinib (GW-572016) Ditosylate,388082-77-7,S1028,C29H26ClFN4O4S.2C7H8O3S,CC1=CC=C(C=C1)[S](O)(=O)=O.CC2=CC=C(C=C2)[S](O)(=O)=O.C[S](=O)(=O)CCNCC3=CC=C(O3)C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(=C7)F)C(=C6)Cl)C5=C4
12,Lenalidomide (CC-5013),191732-72-6,S1029,C13H13N3O3,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1
13,Panobinostat (LBH589),404950-80-7,S1030,C21H23N3O2,CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C3=C([NH]1)C=CC=C3
14,Nilotinib (AMN-107),641571-10-0,S1033,C28H22F3N7O,CC1=C[N](C=N1)C2=CC(=CC(=C2)C(F)(F)F)NC(=O)C3=CC=C(C)C(=C3)NC4=NC=CC(=N4)C5=CN=CC=C5
15,Pazopanib HCl (GW786034 HCl),635702-64-6,S1035,C21H23N7O2S.HCl,Cl.C[N]1N=C2C=C(C=CC2=C1C)N(C)C3=NC(=NC=C3)NC4=CC=C(C)C(=C4)[S](N)(=O)=O
16,Rapamycin (AY-22989),53123-88-9,S1039,C51H79NO13,COC1CC(CCC1O)CC(C)C2CC(=O)C(C)\C=C(/C)C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C(C)/C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N4CCCCC4C(=O)O2)OC
17,Sorafenib (BAY 43-9006) tosylate,475207-59-1,S1040,C21H16ClF3N4O3.C7H8O3S,CNC(=O)C1=CC(=CC=N1)OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2.CC4=CC=C(C=C4)[S](O)(=O)=O
18,Sunitinib (SU11248) malate,341031-54-7,S1042,C22H27FN4O2.C4H6O5,CCN(CC)CCNC(=O)C1=C(C)[NH]C(=C1C)/C=C/2C(=O)NC3=CC=C(F)C=C23.OC(CC(O)=O)C(O)=O
19,Temsirolimus (CCI-779),162635-04-3,S1044,C56H87NO16,COC1CC(CCC1OC(=O)C(C)(CO)CO)CC(C)C2CC(=O)C(C)\C=C(C)\C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C(C)/C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N4CCCCC4C(=O)O2)OC
20,Vorinostat (SAHA),149647-78-9,S1047,C14H20N2O3,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1
21,Entinostat (MS-275),209783-80-2,S1053,C21H20N4O3,NC1=CC=CC=C1NC(=O)C2=CC=C(CNC(=O)OCC3=CN=CC=C3)C=C2
22,Enzastaurin (LY317615),170364-57-5,S1055,C32H29N5O2,C[N]1C=C(C2=CC=CC=C12)C3=C(C(=O)NC3=O)C4=C[N](C5CCN(CC5)CC6=NC=CC=C6)C7=CC=CC=C47
23,Olaparib (AZD2281),763113-22-0,S1060,C24H23FN4O3,FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5
24,Masitinib (AB1010),790299-79-5,S1064,C28H30N6OS,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC(=C(C)C=C3)NC4=NC(=CS4)C5=CC=CN=C5
25,Crizotinib (PF-02341066),877399-52-5,S1068,C21H22Cl2FN5O,CC(OC1=C(N)N=CC(=C1)C2=C[N](N=C2)C3CCNCC3)C4=C(Cl)C=CC(=C4Cl)F
26,Vismodegib (GDC-0449),879085-55-9,S1082,C19H14Cl2N2O3S,C[S](=O)(=O)C1=CC=C(C(=C1)Cl)C(=O)NC2=CC(=C(Cl)C=C2)C3=NC=CC=C3
27,Belinostat (PXD101),866323-14-0,S1085,C15H14N2O4S,ONC(=O)/C=C/C1=CC(=CC=C1)[S](=O)(=O)NC2=CC=CC=C2
28,Rucaparib (AG-014699) phosphate,459868-92-9,S1098,C19H18FN3O.H3PO4,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=CC(=CC(=C34)[NH]2)F.O[P](O)(O)=O
29,Cabozantinib (BMS-907351),849217-68-1,S1119,C28H24FN3O5,COC1=CC2=C(C=C1OC)C(=CC=N2)OC3=CC=C(NC(=O)C4(CC4)C(=O)NC5=CC=C(F)C=C5)C=C3
30,Everolimus (RAD001),159351-69-6,S1120,C53H83NO14,COC1CC(CCC1OCCO)CC(C)C2CC(=O)C(C)\C=C(C)\C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C(C)/C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N4CCCCC4C(=O)O2)OC
31,Malotilate,59937-28-9,S1137,C12H16O4S2,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1
32,Ivacaftor (VX-770),873054-44-5,S1144,C24H28N2O3,CC(C)(C)C1=CC(=C(NC(=O)C2=CNC3=C(C=CC=C3)C2=O)C=C1O)C(C)(C)C
33,Docetaxel (RP56976),114977-28-5,S1148,C43H53NO14,CC(=O)OC12COC1CC(O)C3(C)C2C(OC(=O)C4=CC=CC=C4)C5(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)C6=CC=CC=C6)C(=C(C(O)C3=O)C5(C)C)C
34,Paclitaxel (NSC 125973),33069-62-4,S1150,C47H51NO14,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)C4=CC=CC=C4)C5(O)CC(OC(=O)C(O)C(NC(=O)C6=CC=CC=C6)C7=CC=CC=C7)C(=C1C5(C)C)C
35,Capecitabine (RO 09-1978),154361-50-9,S1156,C15H22FN3O6,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2OC(C)C(O)C2O
36,Pretomanid (PA-824),187235-37-6,S1162,C14H12F3N3O5,[O-][N+](=O)C1=C[N]2CC(COC2=N1)OCC3=CC=C(OC(F)(F)F)C=C3
37,Lenvatinib (E7080),417716-92-8,S1164,C21H19ClN4O4,COC1=C(C=C2C(=CC=NC2=C1)OC3=CC(=C(NC(=O)NC4CC4)C=C3)Cl)C(N)=O
38,Valproic Acid (NSC 93819) sodium salt,1069-66-5,S1168,C8H15NaO2,CCCC(CCC)C(=O)O[Na]
39,Regorafenib (BAY 73-4506),755037-03-7,S1178,C21H15ClF4N4O3,CNC(=O)C1=CC(=CC=N1)OC2=CC(=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)F
40,Danoprevir (ITMN-191),850876-88-9,S1183,C35H46FN5O9S,CC(C)(C)OC(=O)NC1CCCCC\C=C/C2CC2(NC(=O)C3CC(CN3C1=O)OC(=O)N4CC5=C(C4)C(=CC=C5)F)C(=O)N[S](=O)(=O)C6CC6
41,Ritonavir (ABT-538),155213-67-5,S1185,C37H48N6O5S2,CC(C)C(NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)NC(CC(O)C(CC2=CC=CC=C2)NC(=O)OCC3=CN=CS3)CC4=CC=CC=C4
42,Anastrozole (ZD-1033),120511-73-1,S1188,C17H19N5,CC(C)(C#N)C1=CC(=CC(=C1)C[N]2C=NC=N2)C(C)(C)C#N
43,Aprepitant (MK-0869),170729-80-3,S1189,C23H21F7N4O3,CC(OC1OCCN(CC2=NNC(=O)N2)C1C3=CC=C(F)C=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
44,Bicalutamide (ICI-176334),90357-06-5,S1190,C18H14F4N2O4S,CC(O)(C[S](=O)(=O)C1=CC=C(F)C=C1)C(=O)NC2=CC=C(C#N)C(=C2)C(F)(F)F
45,Fulvestrant (ICI-182780),129453-61-8,S1191,C32H47F5O3S,CC12CCC3C(C(CCCCCCCCC[S](=O)CCCC(F)(F)C(F)(F)F)CC4=C3C=CC(=C4)O)C1CCC2O
46,Raltitrexed,112887-68-0,S1192,C21H22N4O6S,CN(CC1=CC2=C(C=C1)N=C(C)NC2=O)C3=CC=C(S3)C(=O)NC(CCC(O)=O)C(O)=O
47,Thalidomide (K17),50-35-1,S1193,C13H10N2O4,O=C1CCC(N2C(=O)C3=C(C=CC=C3)C2=O)C(=O)N1
48,Exemestane (FCE 24304),107868-30-4,S1196,C20H24O2,CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O
49,Finasteride,98319-26-7,S1197,C23H36N2O2,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
50,Cladribine (RWJ 26251),4291-63-8,S1199,C10H12ClN5O3,NC1=NC(=NC2=C1N=C[N]2C3CC(O)C(CO)O3)Cl
51,Decitabine (NSC 127716),2353-33-5,S1200,C8H12N4O4,NC1=NC(=O)N(C=N1)C2CC(O)C(CO)O2
52,Dutasteride,164656-23-9,S1202,C27H30F6N2O2,CC12CCC3C(CCC4NC(=O)C=CC34C)C1CCC2C(=O)NC5=CC(=CC=C5C(F)(F)F)C(F)(F)F
53,Melatonin (NSC 113928),73-31-4,S1204,C13H16N2O2,COC1=CC2=C([NH]C=C2CCNC(C)=O)C=C1
54,Bisoprolol fumarate,104344-23-2,S1206,C22H35NO8,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1.OC(=O)\C=C\C(O)=O
55,Tivozanib (AV-951),475108-18-0,S1207,C22H19ClN4O5,COC1=CC2=C(C=C1OC)C(=CC=N2)OC3=CC=C(NC(=O)NC4=NOC(=C4)C)C(=C3)Cl
56,Doxorubicin (Adriamycin) HCl,25316-40-9,S1208,C27H29NO11.HCl,Cl.COC1=C2C(=O)C3=C(C(=C4CC(O)(CC(OC5CC(N)C(O)C(C)O5)C4=C3O)C(=O)CO)O)C(=O)C2=CC=C1
57,"Fluorouracil (5-Fluorouracil, 5-FU)",51-21-8,S1209,C4H3FN2O2,FC1=CNC(=O)NC1=O
58,Methotrexate (CL-14377),59-05-2,S1210,C20H22N8O5,CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O
59,Bendamustine (SDX105) HCl,3543-75-7,S1212,C16H21Cl2N3O2.HCl,Cl.C[N]1C(=NC2=CC(=CC=C12)N(CCCl)CCCl)CCCC(O)=O
60,Nelarabine,121032-29-9,S1213,C11H15N5O5,COC1=NC(=NC2=C1N=C[N]2C3OC(CO)C(O)C3O)N
61,Bleomycin (NSC125066) sulfate,9041-93-4,S1214,C55H85N17O25S4,CC(O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)C1=C(C)C(=NC(=N1)C(CC(N)=O)NCC(N)C(N)=O)N)C(OC2OC(CO)C(O)C(O)C2OC3OC(CO)C(O)C(OC(N)=O)C3O)C4=C[NH]C=N4)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C.O[S]([O-])(=O)=O
62,Clofarabine,123318-82-1,S1218,C10H11ClFN5O3,NC1=C2N=C[N](C3OC(CO)C(O)C3F)C2=NC(=N1)Cl
63,Dacarbazine (NSC-45388),4342-03-4,S1221,C6H10N6O,CN(C)N=NC1=C(N=C[NH]1)C(N)=O
64,Dexrazoxane HCl (ICRF-187),149003-01-0,S1222,C11H16N4O4.HCl,Cl.CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
65,Epirubicin (IMI 28) HCl,56390-09-1,S1223,C27H29NO11.HCl,Cl.COC1=C2C(=O)C3=C(C(=C4CC(O)(CC(OC5CC(N)C(O)C(C)O5)C4=C3O)C(=O)CO)O)C(=O)C2=CC=C1
66,Etoposide (VP-16),33419-42-0,S1225,C29H32O13,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4O)C6=C2C=C7OCOC7=C6
67,Raloxifene HCl,82640-04-8,S1227,C28H27NO4S.HCl,Cl.OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCCN4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5
68,Fludarabine Phosphate,75607-67-9,S1229,C10H13FN5O7P,NC1=NC(=NC2=C1N=C[N]2C3OC(CO[P](O)(O)=O)C(O)C3O)F
69,Topotecan (NSC609699) HCl,119413-54-6,S1231,C23H23N3O5.HCl,Cl.CCC1(O)C(=O)OCC2=C1C=C3N(CC4=C3N=C5C=CC(=C(CN(C)C)C5=C4)O)C2=O
70,2-Methoxyestradiol (2-MeOE2),362-07-2,S1233,C19H26O3,COC1=C(O)C=C2CCC3C(CCC4(C)C(O)CCC34)C2=C1
71,Letrozole (CGS 20267),112809-51-5,S1235,C17H11N5,N#CC1=CC=C(C=C1)C([N]2C=NC=N2)C3=CC=C(C=C3)C#N
72,Temozolomide (CCRG 81045),85622-93-1,S1237,C6H6N6O2,CN1N=NC2=C(N=C[N]2C1=O)C(N)=O
73,Tamoxifen (ICI 46474),10540-29-1,S1238,C26H29NO,CC/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)/C3=CC=C(OCCN(C)C)C=C3.OC(=O)CC(O)(CC(O)=O)C(O)=O
74,Vincristine (NSC-67574) sulfate,2068-78-2,S1241,C46H58N4O14S,CCC1(O)CC2CN(CCC3=C([NH]C4=C3C=CC=C4)C(C2)(C(=O)OC)C5=CC6=C(C=C5OC)N(C=O)C7C(O)(C(OC(C)=O)C8(CC)C=CCN9CCC67C89)C(=O)OC)C1.O[S](O)(=O)=O
75,Agomelatine (S20098),138112-76-2,S1243,C15H17NO2,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1
76,Latrepirdine 2HCl,97657-92-6,S1245,C21H25N3.2HCl,Cl.Cl.CN1CCC2=C(C1)C3=C(C=CC(=C3)C)[N]2CCC4=CC=C(C)N=C4
77,Leflunomide (HWA486),75706-12-6,S1247,C12H9F3N2O2,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
78,Enzalutamide (MDV3100),915087-33-1,S1250,C21H16F4N4O2S,CNC(=O)C1=C(F)C=C(C=C1)N2C(=S)N(C(=O)C2(C)C)C3=CC=C(C#N)C(=C3)C(F)(F)F
79,Dienogest,65928-58-7,S1251,C20H25NO2,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N
80,Entecavir Hydrate,209216-23-9,S1252,C12H15N5O3.H2O,O.NC1=NC(=O)C2=C(N1)[N](C=N2)C3CC(O)C(CO)C3=C
81,Nepafenac,78281-72-8,S1255,C15H14N2O2,NC(=O)CC1=CC=CC(=C1N)C(=O)C2=CC=CC=C2
82,Rufinamide,106308-44-5,S1256,C10H8F2N4O,NC(=O)C1=C[N](CC2=C(F)C=CC=C2F)N=N1
83,Posaconazole (SCH 56592),171228-49-2,S1257,C37H42F2N8O4,CCC(C(C)O)N1N=CN(C1=O)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(OCC5COC(C5)(C[N]6C=NC=N6)C7=CC=C(F)C=C7F)C=C4
84,Prasugrel,150322-43-3,S1258,C20H20FNO3S,CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C3CC3)C4=CC=CC=C4F)S1
85,Ramelteon,196597-26-9,S1259,C16H21NO2,CCC(=O)NCCC1CCC2=CC=C3OCCC3=C12
86,Cinacalcet (AMG-073) HCl,364782-34-3,S1260,C22H22F3N.HCl,Cl.CC(NCCCC1=CC(=CC=C1)C(F)(F)F)C2=CC=CC3=C2C=CC=C3
87,Celecoxib (SC 58635),169590-42-5,S1261,C17H14F3N3O2S,CC1=CC=C(C=C1)C2=CC(=N[N]2C3=CC=C(C=C3)[S](N)(=O)=O)C(F)(F)F
88,Vemurafenib (PLX4032),918504-65-1,S1267,C23H18ClF2N3O3S,CCC[S](=O)(=O)NC1=CC=C(F)C(=C1F)C(=O)C2=C[NH]C3=NC=C(C=C23)C4=CC=C(Cl)C=C4
89,Acarbose,56180-94-0,S1271,C25H43NO18,CC1OC(OC2C(O)C(O)C(OC2CO)OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C1NC4C=C(CO)C(O)C(O)C4O
90,Adapalene,106685-40-9,S1276,C28H28O3,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(O)=O)[C]45CC6[CH2][CH](C[CH]([CH2]6)C4)C5
91,Altretamine,645-05-6,S1278,C9H18N6,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
92,Amisulpride,71675-85-9,S1280,C17H27N3O4S,CCN1CCCC1CNC(=O)C2=CC(=C(N)C=C2OC)[S](=O)(=O)CC
93,Aniracetam,72432-10-1,S1281,C12H13NO3,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
94,Artemisinin,63968-64-9,S1282,C15H22O5,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4
95,Asenapine maleate,85650-56-2,S1283,C17H16ClNO.C4H4O4,CN1CC2C(C1)C3=C(OC4=C2C=CC=C4)C=CC(=C3)Cl.OC(=O)\C=C/C(O)=O
96,Benazepril HCl,86541-74-4,S1284,C24H28N2O5.HCl,Cl.CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=C(C=CC=C3)N(CC(O)=O)C2=O
97,Budesonide,51333-22-3,S1286,C25H34O6,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
98,Bumetanide,28395-03-1,S1287,C17H20N2O5S,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)[S](N)(=O)=O
99,Carmofur,61422-45-5,S1289,C11H16FN3O3,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O
100,Cetirizine DiHCl,83881-52-1,S1291,C21H25ClN2O3.2HCl,Cl.Cl.OC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
101,Cilnidipine (FRC-8653),132203-70-4,S1293,C27H28N2O7,COCCOC(=O)C1=C(C)NC(=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC\C=C\C3=CC=CC=C3)C
102,Cilostazol (OPC-13013),73963-72-1,S1294,C20H27N5O2,O=C1CCC2=C(N1)C=CC(=C2)OCCCCC3=NN=N[N]3C4CCCCC4
103,Floxuridine (NSC 27640),50-91-9,S1299,C9H11FN2O5,OCC1OC(CC1O)N2C=C(F)C(=O)NC2=O
104,Tegafur (FT-207),17902-23-7,S1300,C8H9FN2O3,FC1=CN(C2CCCO2)C(=O)NC1=O
105,Ifosfamide (NSC109724),3778-73-2,S1302,C7H15Cl2N2O2P,ClCCN[P]1(=O)OCCCN1CCCl
106,Megestrol Acetate,595-33-5,S1304,C24H32O4,CC(=O)OC1(CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C)C(C)=O
107,Mercaptopurine (6-MP),50-44-2,S1305,C5H4N4S,S=C1N=CNC2=C1[NH]C=N2
108,Costunolide,553-21-9,S1319,C15H20O2,CC/1=C\CC\C(=C\C2OC(=O)C(=C)C2CC1)C
109,Dexamethasone (MK-125),50-02-2,S1322,C22H29FO5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
110,Doxazosin Mesylate,77883-43-3,S1324,C23H25N5O5.CH4O3S,COC1=C(OC)C=C2C(=NC(=NC2=C1)N3CCN(CC3)C(=O)C4COC5=C(O4)C=CC=C5)N.C[S](O)(=O)=O
111,Edaravone,89-25-8,S1326,C10H10N2O,CC1=NN(C(=O)C1)C2=CC=CC=C2
112,Etodolac,41340-25-4,S1328,C17H21NO3,CCC1=CC=CC2=C1[NH]C3=C2CCOC3(CC)CC(O)=O
113,Felbamate,25451-15-4,S1330,C11H14N2O4,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
114,Fluconazole (UK 49858),86386-73-4,S1331,C13H12F2N6O,OC(C[N]1C=NC=N1)(C[N]2C=NC=N2)C3=C(F)C=C(F)C=C3
115,Flumazenil (RO 15-1788),78755-81-4,S1332,C15H14FN3O3,CCOC(=O)C1=C2CN(C)C(=O)C3=CC(=CC=C3[N]2C=N1)F
116,Fluoxetine (Lilly 110140) HCl,56296-78-7,S1333,C17H18F3NO.HCl,Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C2=CC=CC=C2
117,Flupirtine maleate,75507-68-5,S1334,C15H17FN4O2.C4H4O4,CCOC(=O)NC1=C(N)N=C(NCC2=CC=C(F)C=C2)C=C1.OC(=O)\C=C\C(O)=O
118,Fluvoxamine (DU-23000) maleate,61718-82-9,S1336,C19H25F3N2O6,COCCCCC(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.OC(=O)\C=C/C(O)=O
119,Gatifloxacin,112811-59-3,S1340,C19H22FN3O4,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(=C1N3CCNC(C)C3)F)C4CC4
120,Genistein (NPI 031L),446-72-0,S1342,C15H10O5,OC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O)O)C2=O
121,Glimepiride,93479-97-1,S1344,C24H34N4O5S,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)[S](=O)(=O)NC(=O)NC3CCC(C)CC3)C1=O
122,Ivermectin (MK-933),70288-86-7,S1351,C48H74O14,CCC(C)C1OC2(CCC1C)CC3CC(C\C=C(C)\C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)\C=C\C=C\6COC7C(O)C(=CC(C(=O)O3)C67O)C)O2
123,Lansoprazole,103577-45-3,S1354,C16H14F3N3O2S,CC1=C(OCC(F)(F)F)C=CN=C1C[S](=O)C2=NC3=CC=CC=C3[NH]2
124,Levetiracetam (UCB-L059),102767-28-2,S1356,C8H14N2O2,CCC(N1CCCC1=O)C(N)=O
125,Lidocaine,137-58-6,S1357,C14H22N2O,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
126,Loratadine (SCH29851),79794-75-5,S1358,C22H23ClN2O2,CCOC(=O)N1CCC(CC1)=C2C3=C(CCC4=C2N=CC=C4)C=C(Cl)C=C3
127,Losartan Potassium (DuP 753),124750-99-8,S1359,C22H23ClKN6O,[KH].CCCCC1=NC(=C(CO)[N]1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=N[NH]4)Cl
128,Amonafide,69408-81-7,S1367,C16H17N3O2,CN(C)CCN1C(=O)C2=C3C(=CC=C2)C=C(N)C=C3C1=O
129,Acitretin,55079-83-9,S1368,C21H26O3,COC1=CC(=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(=C1C)C)C
130,Daptomycin (LY146032),103060-53-3,S1373,C72H101N17O26,CCCCCCCCCC(=O)NC(CC1=C[NH]C2=C1C=CC=C2)C(=O)NC(CC(N)=O)C(=O)NC(CC(O)=O)C(=O)NC3C(C)OC(=O)C(CC(=O)C4=CC=CC=C4N)NC(=O)C(NC(=O)C(CO)NC(=O)CNC(=O)C(CC(O)=O)NC(=O)C(C)NC(=O)C(CC(O)=O)NC(=O)C(CCCN)NC(=O)CNC3=O)C(C)CC(O)=O
131,Doripenem Hydrate,364622-82-2,S1374,C15H24N4O6S2.H2O,O.CC(O)C1C2C(C)C(=C(N2C1=O)C(O)=O)SC3CNC(CN[S](N)(=O)=O)C3
132,Gestodene,60282-87-3,S1376,C21H26O2,CCC12CCC3C(CCC4=CC(=O)CCC34)C1C=CC2(O)C#C
133,Drospirenone,67392-87-4,S1377,C24H30O3,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C)C4C6CC6C57CCC(=O)O7
134,Ruxolitinib (INCB018424),941678-49-5,S1378,C17H18N6,N#CCC(C1CCCC1)[N]2C=C(C=N2)C3=NC=NC4=C3C=C[NH]4
135,Isotretinoin,4759-48-2,S1379,C20H28O2,CC1=C(\C=C\C(C)=C\C=C\C(C)=C/C(O)=O)C(C)(C)CCC1
136,Lopinavir (ABT-378),192725-17-0,S1380,C37H48N4O5,CC(C)C(N1CCCNC1=O)C(=O)NC(CC(O)C(CC2=CC=CC=C2)NC(=O)COC3=C(C)C=CC=C3C)CC4=CC=CC=C4
137,Meropenem,96036-03-2,S1381,C17H25N3O5S,CC(O)C1C2C(C)C(=C(N2C1=O)C(O)=O)SC3CNC(C3)C(=O)N(C)C
138,Mianserin HCl,21535-47-7,S1382,C18H20N2.HCl,Cl.CN1CCN2C(C1)C3=C(CC4=C2C=CC=C4)C=CC=C3
139,Mosapride Citrate,112885-42-4,S1385,C21H25ClFN3O3.C6H8O7,CCOC1=CC(=C(Cl)C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(F)C=C3)N.OC(=O)CC(O)(CC(O)=O)C(O)=O
140,Nafamostat mesilate (FUT-175),82956-11-4,S1386,C19H17N5O2.2CH4O3S,C[S](O)(=O)=O.C[S](O)(=O)=O.NC(=N)NC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(N)=N
141,Naftopidil DiHCl,57149-08-3,S1387,C24H28N2O3.2HCl,Cl.Cl.COC1=CC=CC=C1N2CCN(CC2)CC(O)COC3=C4C=CC=CC4=CC=C3
142,Omeprazole,73590-58-6,S1389,C17H19N3O3S,COC1=CC=C2[NH]C(=NC2=C1)[S](=O)CC3=C(C)C(=C(C)C=N3)OC
143,Ondansetron HCl,99614-01-4,S1390,C18H19N3O.HCl,Cl.C[N]1C2=C(C(=O)C(CC2)C[N]3C=CN=C3C)C4=CC=CC=C14
