,CompoundName,SMILES,Formula,ItemID
19,6(S)-Lipoxin A4,CCCCC[C@H](O)/C=C/C=C\C=C\C=C\[C@H](O)[C@@H](O)CCCC(=O)O,C20H32O5,10049.0
20,"15-deoxy-.DELTA.12,14-Prostaglandin A1",CCCCC/C=C/C=C1/C=CC(=O)[C@@H]1CCCCCCC(=O)O,C20H30O3,10065.0
21,15-epi Prostaglandin A1,CCCCC[C@@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)C(=O)O,C21H32O5,10070.0
22,(+)-Abscisic Acid,CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O,C15H20O4,10073.0
23,"16,16-dimethyl Prostaglandin A1",CCCCC(C)(C)[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,C22H36O4,10080.0
24,SB-242084 (hydrochloride),Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2.Cl.Cl,C21H21Cl3N4O2,10096.0
25,EA4,CCN(CC)c1ccc(C2=C(Cl)C(=O)c3ncccc3C2=O)cc1,C19H17ClN2O2,10111.0
26,AL 8810 isopropyl ester,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@H](O)C2Cc3ccccc3C2)[C@@H](F)C[C@@H]1O,C27H37FO4,10113.0
27,N-Oleoyl Dopamine,CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,C26H43NO3,10115.0
28,15(R)-Prostaglandin D2,CCCCC[C@@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C20H32O5,10118.0
29,"CP 24,879 (hydrochloride)",CC(C)CCOc1ccc(N)cc1.Cl,C11H18ClNO,10120.0
30,5-trans Latanoprost (free acid),O=C(O)CCC/C=C/C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,C23H34O5,10129.0
31,MK-886 (sodium salt),CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)[O-])n2Cc1ccc(Cl)cc1.[Na+],C27H33ClNNaO2S,10133.0
32,HQL-79,c1ccc(C(OC2CCN(CCCc3nnn[nH]3)CC2)c2ccccc2)cc1,C22H27N5O,10134.0
33,Icilin,O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O,C16H13N3O4,10137.0
34,Prostaglandin F2.alpha.-1-glyceryl ester,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)OCC(O)CO)[C@@H](O)C[C@H]1O,C23H40O7,10139.0
35,Prostaglandin E2-1-glyceryl ester,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)OCC(O)CO,C23H38O7,10140.0
36,BM 567,CCCCCNC(=O)NS(=O)(=O)c1cc([N+](=O)[O-])ccc1NC1CCCCC1,C18H28N4O5S,10155.0
37,Ramatroban,O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2,C21H21FN2O4S,10156.0
38,APF,Nc1ccc(Oc2ccc3c(c2)Oc2cc(O)ccc2C32OC(=O)c3ccccc32)cc1,C26H17NO5,10157.0
39,HPF,O=C1OC2(c3ccc(O)cc3Oc3cc(Oc4ccc(O)cc4)ccc32)c2ccccc21,C26H16O6,10159.0
40,Treprostinil,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,C23H34O5,10162.0
41,D-erythro-MAPP,CCCCCCCCCCCCCC(=O)N[C@H](C)[C@@H](O)c1ccccc1,C23H39NO2,10165.0
42,Arachidonoyl p-Nitroaniline,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1ccc([N+](=O)[O-])cc1,C26H36N2O3,10168.0
43,15(S)-HETE Ethanolamide,CCCCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,C22H37NO3,10169.0
44,BEC,N[C@@H](CSCCB(O)O)C(=O)O,C5H12BNO4S,10170.0
45,OMDM-1,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](CO)Cc1ccc(O)cc1,C27H45NO3,10171.0
46,1-Palmitoyl-2-hydroxy-sn-glycero-3-PC,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C,C24H50NO7P,10172.0
47,OMDM-2,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)Cc1ccc(O)cc1,C27H45NO3,10179.0
48,Arachidonoyl Ethanolamide Phosphate,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCOP(=O)(O)O,C22H38NO5P,10180.0
49,4-oxo-2-Nonenal,CCCCCC(=O)/C=C/C=O,C9H14O2,10185.0
50,trans-trismethoxy Resveratrol,COc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1,C17H18O3,10188.0
51,"2,4-Dichlorophenoxy Acetic Acid",O=C(O)COc1ccc(Cl)cc1Cl,C8H6Cl2O3,10190.0
52,Prostaglandin D2 serinol amide,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)NC(CO)CO,C23H39NO6,10192.0
53,Prostaglandin E2 serinol amide,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)NC(CO)CO,C23H39NO6,10193.0
54,Prostaglandin F2.alpha. serinol amide,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)NC(CO)CO)[C@@H](O)C[C@H]1O,C23H41NO6,10194.0
55,13-epi-12-oxo Phytodienoic Acid,CC/C=C\C[C@H]1C(=O)C=C[C@@H]1CCCCCCCC(=O)O,C18H28O3,10195.0
56,Prostaglandin A2,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,C20H30O4,10210.0
57,IDFP,CCCCCCCCCCCCP(=O)(F)OC(C)C,C15H32FO2P,10215.0
58,8-iso Prostaglandin A2,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@H]1C/C=C\CCCC(=O)O,C20H30O4,10235.0
59,"13,14-dihydro-15-keto Prostaglandin A2",CCCCCC(=O)CC[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,C20H30O4,10260.0
60,"15-deoxy-.DELTA.12,14-Prostaglandin A2",CCCCC/C=C/C=C1/C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,C20H28O3,10265.0
61,15(R)-15-methyl Prostaglandin A2,CCCCC[C@@](C)(O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,C21H32O4,10270.0
62,Prostratin,CC(=O)O[C@@]12C[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C,C22H30O6,10272.0
63,ATB-337,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)Oc1ccc(-c2cc(=S)ss2)cc1,C23H15Cl2NO2S3,10277.0
64,"16,16-dimethyl Prostaglandin A2",CCCCC(C)(C)[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,C22H34O4,10280.0
65,16-phenoxy tetranor Prostaglandin A2,O=C(O)CCC/C=C\C[C@H]1C(=O)C=C[C@@H]1/C=C/[C@@H](O)COc1ccccc1,C22H26O5,10285.0
66,17-phenyl trinor Prostaglandin A2,O=C(O)CCC/C=C\C[C@H]1C(=O)C=C[C@@H]1/C=C/[C@@H](O)CCc1ccccc1,C23H28O4,10288.0
67,"17-phenyl trinor-13,14-dihydro Prostaglandin A2",O=C(O)CCC/C=C\C[C@H]1C(=O)C=C[C@@H]1CC[C@@H](O)CCc1ccccc1,C23H30O4,10290.0
68,19(R)-hydroxy Prostaglandin A2,C[C@@H](O)CCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,C20H30O5,10295.0
69,Prostaglandin A3,CC/C=C\C[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,C20H28O4,10310.0
70,Prostaglandin E2 isopropyl ester,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)OC(C)C,C23H38O5,10384.0
71,?-hydroxy Midazolam,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,C18H13ClFN3O,10385.0
72,?-hydroxy Midazolam (CRM),OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,C18H13ClFN3O,39954.0
73,1'.alpha.-Hydroxymidazolam .beta.-D-Glucuronide,O=C(O)[C@H]1O[C@@H](OCc2ncc3n2-c2ccc(Cl)cc2C(c2ccccc2F)=NC3)[C@H](O)[C@@H](O)[C@@H]1O,C24H21ClFN3O7,10386.0
74,PKC 412,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,C35H30N4O4,10459.0
75,Paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,C47H51NO14,10461.0
76,JWH 007-d9,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])Cn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,C25H25NO,10486.0
77,Capecitabine,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,C15H22FN3O6,10487.0
78,Bupropion (hydrochloride),CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,C13H19Cl2NO,10488.0
79,Bupropion (hydrochloride) (CRM),CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,C13H19Cl2NO,25576.0
80,(S)-AM1241,CN1CCCC[C@H]1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,C22H22IN3O3,10490.0
81,(R)-AM1241,CN1CCCC[C@@H]1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,C22H22IN3O3,10491.0
82,4-iodo-SAHA,O=C(CCCCCCC(=O)Nc1ccc(I)cc1)NO,C14H19IN2O3,10495.0
83,BayCysLT2,O=C(O)c1ccc(OCCCc2ccc(OCCCCOc3ccccc3)cc2)c(C(=O)NC2CCCC(C(=O)O)C2)c1,C34H39NO8,10532.0
84,"7(S),17(S)-dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-Docosapentaenoic Acid",CC/C=C\C[C@H](O)/C=C/C=C\C/C=C\C=C\[C@@H](O)CCCCCC(=O)O,C22H34O4,10546.0
85,4-biphenylthio Carboxamide,NC(=S)c1ccc(-c2ccccc2)cc1,C13H11NS,10550.0
86,Pyrazine-2-thio Carboxamide,NC(=S)c1cnccn1,C5H5N3S,10551.0
87,4-methoxythio Benzamide,COc1ccc(C(N)=S)cc1,C8H9NOS,10552.0
88,3-methoxythio Benzamide,COc1cccc(C(N)=S)c1,C8H9NOS,10553.0
89,NG-amino-L-Arginine (hydrochloride),Cl.N=C(NN)NCCC[C@H](N)C(=O)O,C6H16ClN5O2,10554.0
90,7-hydroxycoumarinyl-.gamma.-Linolenate,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)Oc1ccc2ccc(=O)oc2c1,C27H34O4,10556.0
91,MDA 19,CCCCCCN1C(=O)/C(=N\NC(=O)c2ccccc2)c2ccccc21,C21H23N3O2,10563.0
92,NVP-BEZ235,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,C30H23N5O,10565.0
93,Ellagic Acid,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,C14H6O8,10569.0
94,Scriptaid,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,C18H18N2O4,10572.0
95,Suberohydroxamic Acid,O=C(CCCCCCC(=O)NO)NO,C8H16N2O4,10574.0
96,HC Toxin,C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@@H](C)NC1=O,C21H32N4O6,10576.0
97,JWH 081,CCCCCn1cc(C(=O)c2ccc(OC)c3ccccc23)c2ccccc21,C25H25NO2,10579.0
98,JWH 081 (exempt preparation),CCCCCn1cc(C(=O)c2ccc(OC)c3ccccc23)c2ccccc21,C25H25NO2,15665.0
99,JWH 122,CCCCCn1cc(C(=O)c2ccc(C)c3ccccc23)c2ccccc21,C25H25NO,10591.0
100,JWH 122 (exempt preparation),CCCCCn1cc(C(=O)c2ccc(C)c3ccccc23)c2ccccc21,C25H25NO,15667.0
101,AS-1269574,Cc1cc(NCCO)nc(-c2ccc(Br)cc2)n1,C13H14BrN3O,10626.0
102,JWH 073 2-hydroxyindole metabolite,CCCCn1c(O)c(C(=O)c2cccc3ccccc23)c2ccccc21,C23H21NO2,10633.0
103,RCS-8,COc1ccccc1CC(=O)c1cn(CCC2CCCCC2)c2ccccc12,C25H29NO2,10636.0
104,RCS-8 (exempt preparation),COc1ccccc1CC(=O)c1cn(CCC2CCCCC2)c2ccccc12,C25H29NO2,15663.0
105,Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,C13H8Cl2N2O4,10649.0
106,ent-Corey PG-Lactone Diol,CCCCC[C@@H](O)/C=C/[C@H]1[C@@H]2CC(=O)O[C@@H]2C[C@@H]1O,C15H24O4,10653.0
107,JWH 200-d5 (exempt preparation),[2H]c1c([2H])c([2H])c2c(c1[2H])c(C(=O)c1cccc3ccccc13)c([2H])n2CCN1CCOCC1,C25H24N2O2,10682.0
108,JWH 200-d5,[2H]c1c([2H])c([2H])c2c(c1[2H])c(C(=O)c1cccc3ccccc13)c([2H])n2CCN1CCOCC1,C25H24N2O2,10903.0
109,"3,4-Methylenedioxy Pyrovalerone (hydrochloride)",CCCC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1.Cl,C16H22ClNO3,10684.0
110,"3,4-Methylenedioxy Pyrovalerone (hydrochloride) (CRM)",CCCC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1.Cl,C16H22ClNO3,31088.0
111,Prostaglandin B1,CCCCC[C@H](O)/C=C/C1=C(CCCCCCC(=O)O)C(=O)CC1,C20H32O4,11110.0
112,Prostaglandin B2,CCCCC[C@H](O)/C=C/C1=C(C/C=C\CCCC(=O)O)C(=O)CC1,C20H30O4,11210.0
113,Prostaglandin B3,CC/C=C\C[C@H](O)/C=C/C1=C(C/C=C\CCCC(=O)O)C(=O)CC1,C20H28O4,11990.0
114,Prostaglandin D1,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1CCCCCCC(=O)O,C20H34O5,12000.0
115,Prostaglandin D1 Alcohol,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1CCCCCCCO,C20H36O4,12002.0
116,Prostaglandin D2,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C20H32O5,12010.0
117,Prostaglandin D2 Ethanolamide,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)NCCO,C22H37NO5,12012.0
118,Prostaglandin D2-1-glyceryl ester,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)OCC(O)CO,C23H38O7,12015.0
119,BW 245C,O=C(O)CCCCCC[C@H]1C(=O)NC(=O)N1CCC(O)C1CCCCC1,C19H32N2O5,12050.0
120,BW 246C,O=C(O)CCCCCC[C@@H]1C(=O)NC(=O)N1CCC(O)C1CCCCC1,C19H32N2O5,12055.0
121,BW A868C,O=C(O)CCCCCCC1C(=O)N(Cc2ccccc2)C(=O)N1NCC(O)C1CCCCC1,C25H37N3O5,12060.0
122,5-trans Prostaglandin D2,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C/CCCC(=O)O,C20H32O5,12210.0
123,11-deoxy-11-methylene Prostaglandin D2,C=C1C[C@H](O)[C@H](C/C=C\CCCC(=O)O)[C@H]1/C=C/[C@@H](O)CCCCC,C21H34O4,12410.0
124,"13,14-dihydro-15-keto Prostaglandin D2",CCCCCC(=O)CC[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C20H32O5,12610.0
125,.DELTA.12-Prostaglandin D2,CCCCC[C@H](O)C/C=C1/C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C20H32O5,12650.0
126,"15-deoxy-.DELTA.12,14-Prostaglandin D2",CCCCC/C=C/C=C1/C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C20H30O4,12700.0
127,15(R)-15-methyl Prostaglandin D2,CCCCC[C@@](C)(O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C21H34O5,12720.0
128,15(S)-15-methyl Prostaglandin D2,CCCCC[C@](C)(O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C21H34O5,12730.0
129,"16,16-dimethyl Prostaglandin D2",CCCCC(C)(C)[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C22H36O5,12750.0
130,17-phenyl trinor Prostaglandin D2,O=C(O)CCC/C=C\C[C@H]1[C@@H](O)CC(=O)[C@@H]1/C=C/[C@@H](O)CCc1ccccc1,C23H30O5,12810.0
131,tetranor-PGDM,O=C(O)CCCCC(=O)CC[C@H]1C(=O)C[C@H](O)[C@@H]1CCC(=O)O,C16H24O7,12850.0
132,Prostaglandin D3,CC/C=C\C[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,C20H30O5,12990.0
133,Pterostilbene,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,C16H16O3,13000.0
134,2-methyl Benzamideoxime,Cc1ccccc1/C(N)=N/O,C8H10N2O,13002.0
135,2-Pyridylamide oxime,N/C(=N\O)c1ccccn1,C6H7N3O,13003.0
136,3-Pyridylamide oxime,N/C(=N\O)c1cccnc1,C6H7N3O,13004.0
137,4-Pyridylamide oxime,N/C(=N\O)c1ccncc1,C6H7N3O,13005.0
138,3-methyl-2-Quinoxalinone,Cc1nc2ccccc2[nH]c1=O,C9H8N2O,13006.0
139,ethyl-2(2-pyridyl)-4-(bromomethyl)-Thiazole-5-Carboxylate,CCOC(=O)c1sc(-c2ccccn2)nc1CBr,C12H11BrN2O2S,13007.0
140,Disuccinimidyl Suberate,O=C(CCCCCCC(=O)ON1C(=O)CCC1=O)ON1C(=O)CCC1=O,C16H20N2O8,13008.0
141,GSK264220A,Cc1oc(S(=O)(=O)N2CCCCC2)cc1NC(=O)Nc1ccccc1,C17H21N3O4S,13009.0
142,Prostaglandin E1,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,C20H34O5,13010.0
143,Prostaglandin E1 Ethanolamide,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)NCCO,C22H39NO5,13012.0
144,2-Hydroxyestradiol,C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,C18H24O3,13019.0
145,Prostaglandin E1 Alcohol,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCO,C20H36O4,13020.0
146,2-Methoxyestradiol,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C19H26O3,13021.0
147,PD 173074,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,C28H41N7O3,13032.0
148,Valproic Acid (sodium salt),CCCC(CCC)C(=O)[O-].[Na+],C8H15NaO2,13033.0
149,PD 0325901,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,C16H14F3IN2O4,13034.0
150,2-(3-Pyridyl)-4-methyl-thiazole-5-Carboxylic Acid,Cc1nc(-c2cccnc2)sc1C(=O)O,C10H8N2O2S,13036.0
151,2-Pyridylthioamide,NC(=S)c1ccccn1,C6H6N2S,13043.0
152,Tranilast,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC,C18H17NO5,13044.0
153,ATB-343,COc1ccc2c(c1)c(CC(=O)Oc1ccc(-c3cc(=S)ss3)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,C28H20ClNO4S3,13045.0
154,2-(2-Pyridyl)-4-methyl-thiazole-5-Carboxylic Acid,Cc1nc(-c2ccccn2)sc1C(=O)O,C10H8N2O2S,13047.0
155,2-(4-Pyridyl)-4-methyl-thiazole-5-Carboxylic Acid,Cc1nc(-c2ccncc2)sc1C(=O)O,C10H8N2O2S,13049.0
156,"1a,1b-dihomo Prostaglandin E1",CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCCCC(=O)O,C22H38O5,13050.0
157,2-(3-pyridyl)-Benzimidazole,c1cncc(-c2nc3ccccc3[nH]2)c1,C12H9N3,13054.0
158,Naphthofluorescein,O=C1OC2(c3ccccc31)c1ccc3cc(O)ccc3c1Oc1c2ccc2cc(O)ccc12,C28H16O5,13055.0
159,4-Pyridylthioamide,NC(=S)c1ccncc1,C6H6N2S,13056.0
160,3-methyl Benzamideoxime,Cc1cccc(/C(N)=N/O)c1,C8H10N2O,13057.0
161,N-Oleoyl-L-Serine,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)C(=O)O,C21H39NO4,13058.0
162,ethyl-2-amino-4-methyl-Thiazole-5-Carboxylate,CCOC(=O)c1sc(N)nc1C,C7H10N2O2S,13059.0
163,17(R)-Resolvin D1,CC/C=C\C[C@@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)C/C=C\CCC(=O)O,C22H32O5,13060.0
164,2-amino-5-methyl-4-phenyl-Thiazole,Cc1sc(N)nc1-c1ccccc1,C10H10N2S,13061.0
165,N-3-oxo-tetradecanoyl-L-Homoserine lactone,CCCCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,C18H31NO4,13063.0
166,N-hexadecanoyl-L-Homoserine lactone,CCCCCCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,C20H37NO3,13064.0
167,SB 203580,CS(=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,C21H16FN3OS,13067.0
168,Fucoxanthin,CC(=O)O[C@H]1CC(C)(C)C(=C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)C[C@@]23O[C@]2(C)C[C@@H](O)CC3(C)C)[C@](C)(O)C1,C42H58O6,13068.0
169,Tosyllysine Chloromethyl Ketone (hydrochloride),Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1.Cl,C14H22Cl2N2O3S,13074.0
170,16(R)-Iloprost,CC#CC[C@@H](C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,C22H32O4,13076.0
171,16(S)-Iloprost,CC#CC[C@H](C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,C22H32O4,13077.0
172,Resorcinolnaphthalein,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2cccc3cccc1c23,C24H14O5,13082.0
173,ThioFluor 623,COCCOCCOCCN(c1ccc(/C=C/C2=C(C#N)C(=C(C#N)C#N)OC2(C)C)cc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],C31H30N6O10S,13083.0
174,STF-62247,Cc1cccc(Nc2nc(-c3ccncc3)cs2)c1,C15H13N3S,13084.0
